file,title,tags,description,height,width,depth,dimension,medium,price,rank,hide,year,on,etsy link
dock.jpg,Dock,Landscape,Seascape of a dock,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
heads.jpg,Cartoon Heads,Colorful,description40,,,, x  x in,Marker,Avalible,,0,,Canvas,
hibiscusflower.jpg,Hibiscus Flower,Floral,Painting of Hibiscus Flower,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
hug.jpg,Hug,Figure,Sketch of sculpture in Dorothea Dix Park,,,, x  x in,Marker,Avalible,,0,,Canvas,
lemon.jpg,Lemon in Cup,Colorful,Painting of a view inside a glass cup.,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
shell.jpg,Shell,None,Painting of a shell,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
slender.jpg,Slenderman,Figure,Doodle of slenderman,,,, x  x in,Marker,Avalible,,0,,Canvas,
snowy.jpg,Snowy,Landscape,Snowy Landscape,,,, x  x in,Acrylic,Avalible,,0,,Canvas,
space.jpg,Takeoff,Landscape,Painting of a NASA rocket blastoff,,,, x  x in,Acrylic,Unavalible,,0,,Canvas,
poinsettia.jpg,x,x,x,x,x,x,x,Acrylic,Avalible,,0,x,Board,
houstonjapanesegarden.jpg,Houston Japanese Garden,Plein_Air Landscape,Plein air painting of Houston Japanese garden.,,,,,Acrylic,Available,,1,,Board,https://www.etsy.com/listing/4334760181/houston-japanese-garden-plein-air-fine
orchids.jpg,Second Bloom,Floral,Painting of white orchids that I got that made it to a second bloom for the first time ever.,,,,,Acrylic,Available,,1,2025,Canvas,https://www.etsy.com/listing/4334760305/orchids-second-bloom-fine-art-giclee
bellevuehydrangeas.jpg,Bellevue Hydrangeas,Floral Landscape,Impressionistic painting of hyndrangeas in the Bellevue Botanical Garden,,,,,Acrylic,Available,1,1,2025,Canvas,https://www.etsy.com/listing/4334759010/hydrangeas-at-bellevue-botanical-garden
lamanai sugar.jpg,Lamanai Sugar Mill,Landscape Colorful,This is a painting of the abandonded sugar mill found in the Lamanai Archeoligcal reserve in Belize. In the center of the sugar mill is this gorgeous tree overtaking the sugar mill.,,,,,Acrylic,Available,1,1,2025,Canvas,
Bayou Bend Gardens.jpg,Bayou Bend Gardens Plein Air,Plein_Air Landscape,This is a painting I made at the Bayou Bend Gardens. I absolutely loved how beautiful it was there and the shade was lovely for Plein air.,,,,,Acrylic,Unavalible,1,1,2025,Board,
black orchid.jpg,Black Orchid,Floral,"Painting of a black orchid, a flower I saw on my Belize vacation! I thought they were very pretty.",,,,,Acrylic,Available,2,1,2025,Canvas,
bellevuegardenflowers.jpg,Bellevue Boatnical Garden,Landscape,"Painting of the Bellevue Botanical Garden, I really like this one as it features the Sun peaking through thre tree with the lovely shaded white flower field.",,,,,Acrylic,Available,1,1,2025,Board,https://www.etsy.com/listing/4334761731/bellevue-botanical-garden-scene-fine-art
lamanaioutpostlodge.jpg,Lamanai Outpost Lodge,Plein_Air Landscape,Plein air painting of the Lamani Outpost Lodge I stayed in at Belize. I absolutely loved staying here and all the adventures we had!,,,,,,Available,2,1,2025,Board,https://www.etsy.com/listing/4334763461/lamanai-outpost-lodge-orange-walk-belize
rawr tiger.jpg,Tiger,Colorful Animal,Painting of an angry tiger,8,10,,,Acrylic,Available,2,1,2025,Canvas,https://www.etsy.com/listing/4448174884/orange-tiger-colorful-art-print
boba cat.jpg,Boba Cat,Colorful Animal,Colorful tabby cat drinking boba tea.,,,,,Acrylic,Available,2,1,2025,Board`,https://www.etsy.com/listing/4352869254/boba-tea-cat-art-print
herman park centinenal gardens.jpg,Hermann Park Centennial Gardens,Landscape Plein_Air,Painting of the spiral hill in the hermann park centennial gardens. This was done plein air and it was extremely hot!,,,,,Acrylic,Available,3,1,2025,Board,
8x10 red panda Preset.jpg,Red Panda,Animal,One of the Houston Zoo red pandas walking in a field,,,,,Acrylic,Unavalible,,1,2026,Canvas,
dukegardenshq.jpg,Duke Gardens,Landscape,Duke gardens fountain with the statue and lillies,,,,,Acrylic,Available,,1,2026,Canvas,
cowboycat12x18export.jpg,Cowboy Cat,Animal Colorful,Little orange cowboy kitty painting with a purple background and star motifs.,,,,,Acrylic,Available,,1,2026,Canvas,
